Ngày đăng bài,Năm SX,Tên xe,Xuất xứ,Địa điểm,Kiểu dáng,Số km đã đi,Hộp số,Tình trạng,Nhiên liệu
16/10/2025,2018,Hyundai i10 Grand 1.2 AT,Lắp ráp trong nước,Hà Nội,Hatchback,110000,N/A,Xe cũ,Xăng
16/10/2025,2015,Kia Carens EXMT,Lắp ráp trong nước,Cần Thơ,Crossover,0,N/A,Xe cũ,Xăng
16/10/2025,2020,Mazda CX5 2.0 Deluxe,Lắp ráp trong nước,N/A,SUV,100000,N/A,Xe cũ,Xăng
16/10/2025,2021,VinFast Fadil 1.4 AT Plus,Lắp ráp trong nước,TP,Hatchback,40000,N/A,Xe cũ,Xăng
16/10/2025,2021,Kia K3 Luxury 1.6 AT,Lắp ráp trong nước,N/A,Sedan,0,N/A,Xe cũ,Xăng
16/10/2025,2009,Chevrolet Captiva LTZ 2.4 AT,Lắp ráp trong nước,N/A,SUV,0,N/A,Xe cũ,Xăng
16/10/2025,2024,Mazda CX5 Premium Sport 2.0 AT,Lắp ráp trong nước,N/A,SUV,38000,N/A,Xe cũ,Xăng
16/10/2025,2025,Isuzu Dmax Prestige 1.9L 4x2 AT,Nhập khẩu,Hà Nội,Bán tải / Pickup,N/A,N/A,Xe mới,Dầu
16/10/2025,2025,Mitsubishi Xforce Ultimate,Nhập khẩu,Hà Nội,SUV,N/A,N/A,Xe mới,Xăng
16/10/2025,2025,Toyota Veloz Cross 1.5 CVT,Lắp ráp trong nước,N/A,SUV,N/A,N/A,Xe mới,Xăng
16/10/2025,2017,Lexus RX 350,Nhập khẩu,N/A,SUV,150000,N/A,Xe cũ,Xăng
16/10/2025,2019,Mazda 3 1.5L Luxury,Lắp ráp trong nước,Hà Nội,Sedan,75000,N/A,Xe cũ,Xăng
16/10/2025,2025,Ford Everest Titanium 2.0L 4x2 AT,Nhập khẩu,Hà Nội,SUV,N/A,N/A,Xe mới,Dầu
16/10/2025,2021,Hyundai Accent 1.4 AT,Lắp ráp trong nước,Hà Nội,Sedan,51000,N/A,Xe cũ,Xăng
16/10/2025,2022,Hyundai SantaFe Cao cấp 2.2L HTRAC,Lắp ráp trong nước,TP,SUV,60000,N/A,Xe cũ,Dầu
16/10/2025,2025,Ford Territory Titanium X 1.5 AT,Lắp ráp trong nước,TP HCM,SUV,N/A,N/A,Xe mới,Xăng
16/10/2025,2016,Toyota Prado TXL 2.7L,Nhập khẩu,Hà Nội,SUV,89000,N/A,Xe cũ,Xăng
16/10/2025,2024,VinFast VF3 Plus,Lắp ráp trong nước,Hà Nội,Hatchback,10000,N/A,Xe cũ,Điện
16/10/2025,2025,Lexus RX 350h Premium,Nhập khẩu,Hà Nội,SUV,N/A,N/A,Xe mới,Hybrid
16/10/2025,2019,Kia Cerato 1.6 AT Luxury,Lắp ráp trong nước,Hà Nội,Sedan,60000,N/A,Xe cũ,Xăng
16/10/2025,2025,Toyota Land Cruiser 3.5 V6,Nhập khẩu,Hà Nội,SUV,N/A,N/A,Xe mới,Xăng
16/10/2025,2022,Kia Sorento Signature 2.5 AT AWD,Lắp ráp trong nước,Hà Nội,SUV,59000,N/A,Xe cũ,Xăng
16/10/2025,2020,Mazda CX5 2.0 Deluxe,Lắp ráp trong nước,N/A,SUV,100000,N/A,Xe cũ,Xăng
16/10/2025,2020,Ford Ranger Raptor 2.0L 4x4 AT,Nhập khẩu,Hà Nội,Bán tải / Pickup,9200,N/A,Xe cũ,Dầu
16/10/2025,2014,Audi A8 L V6 3.0 TFSI,Nhập khẩu,Hà Nội,Sedan,0,N/A,Xe cũ,Xăng
16/10/2025,2021,Kia K3 Luxury 1.6 AT,Lắp ráp trong nước,N/A,Sedan,0,N/A,Xe cũ,Xăng
16/10/2025,2025,Toyota Veloz Cross 1.5 CVT,Lắp ráp trong nước,TP HCM,SUV,N/A,N/A,Xe mới,Xăng
16/10/2025,2009,Chevrolet Captiva LTZ 2.4 AT,Lắp ráp trong nước,N/A,SUV,0,N/A,Xe cũ,Xăng
16/10/2025,2025,Isuzu Dmax Prestige 1.9L 4x2 AT,Nhập khẩu,Hà Nội,Bán tải / Pickup,N/A,N/A,Xe mới,Dầu
16/10/2025,2021,Ford Explorer Limited 2.3L EcoBoost,Nhập khẩu,TP HCM,SUV,76000,N/A,Xe cũ,Xăng
16/10/2025,2021,Hyundai Accent 1.4 AT,Lắp ráp trong nước,Hà Nội,Sedan,51000,N/A,Xe cũ,Xăng
16/10/2025,2025,Suzuki Carry Pro Thùng Lửng,Nhập khẩu,Hà Nội,Truck,N/A,N/A,Xe mới,Xăng
16/10/2025,2022,Hyundai SantaFe Cao cấp 2.2L HTRAC,Lắp ráp trong nước,TP,SUV,60000,N/A,Xe cũ,Dầu
16/10/2025,2025,Ford Territory Titanium X 1.5 AT,Lắp ráp trong nước,TP HCM,SUV,N/A,N/A,Xe mới,Xăng
16/10/2025,2016,Toyota Prado TXL 2.7L,Nhập khẩu,Hà Nội,SUV,89000,N/A,Xe cũ,Xăng
16/10/2025,2016,Mercedes Benz C class C200,Lắp ráp trong nước,TP HCM,Sedan,0,N/A,Xe cũ,Xăng
16/10/2025,2021,Toyota Vios E CVT,Lắp ráp trong nước,N/A,Sedan,67139,N/A,Xe cũ,Xăng
16/10/2025,2022,Toyota Raize G 1.0 CVT,Nhập khẩu,Hà Nội,SUV,23000,N/A,Xe cũ,Xăng
16/10/2025,2024,Toyota Land Cruiser 3.5 V6,Nhập khẩu,Hà Nội,SUV,20000,N/A,Xe cũ,Xăng
16/10/2025,2019,Kia Cerato 1.6 AT Luxury,Lắp ráp trong nước,Hà Nội,Sedan,60000,N/A,Xe cũ,Xăng
16/10/2025,2019,Mazda CX5 2.0 AT,Lắp ráp trong nước,Hà Nội,SUV,60000,N/A,Xe cũ,Xăng
16/10/2025,2022,Kia Sorento Signature 2.5 AT AWD,Lắp ráp trong nước,Hà Nội,SUV,59000,N/A,Xe cũ,Xăng
16/10/2025,2025,Isuzu Dmax Prestige 1.9L 4x2 AT,Nhập khẩu,Hà Nội,Bán tải / Pickup,N/A,N/A,Xe mới,Dầu
16/10/2025,2024,Mercedes Benz Maybach GLS 480 4Matic,Nhập khẩu,Hà Nội,SUV,N/A,N/A,Xe mới,Xăng
16/10/2025,2025,Mazda CX3 Premium 1.5 AT,Lắp ráp trong nước,TP HCM,Crossover,N/A,N/A,Xe mới,Xăng
16/10/2025,2025,Isuzu Dmax Hi Lander 1.9L 4x2 AT,Nhập khẩu,Hà Nội,Bán tải / Pickup,N/A,N/A,Xe mới,Dầu
16/10/2025,2023,Mercedes Benz S class S450 4Matic Luxury,Nhập khẩu,N/A,Sedan,17000,N/A,Xe cũ,Xăng
16/10/2025,2017,Mazda CX5 2.5 AT 2WD,Lắp ráp trong nước,Hà Nội,SUV,50000,N/A,Xe cũ,Xăng
16/10/2025,2023,BMW 5 Series 520i,Lắp ráp trong nước,TP HCM,Sedan,N/A,N/A,Xe mới,Xăng
16/10/2025,2023,Mercedes Benz C class C200 Avantgarde Plus,Lắp ráp trong nước,TP HCM,Sedan,17,N/A,Xe cũ,Xăng
16/10/2025,2025,Kia Morning GT-Line,Lắp ráp trong nước,Hà Nội,Hatchback,N/A,N/A,Xe mới,Xăng
16/10/2025,2020,Nissan X trail 2.5 SV Premium,Lắp ráp trong nước,Hà Nội,SUV,62000,N/A,Xe cũ,Xăng
16/10/2025,2023,Hyundai Accent 1.4 AT,Lắp ráp trong nước,Hà Nội,Sedan,47000,N/A,Xe cũ,Xăng
16/10/2025,2011,Toyota Prado TXL 2.7L,Nhập khẩu,N/A,SUV,150000,N/A,Xe cũ,Xăng
16/10/2025,2025,Isuzu Dmax Prestige 1.9L 4x2 AT,Nhập khẩu,Hà Nội,Bán tải / Pickup,N/A,N/A,Xe mới,Dầu
16/10/2025,2022,Hyundai Tucson 2.0 AT CRDi Đặc biệt,Lắp ráp trong nước,Hà Nội,Crossover,0,N/A,Xe cũ,Dầu
16/10/2025,2020,Ford Ranger Wildtrak 2.0L 4x4 AT,Nhập khẩu,TP,Bán tải / Pickup,78000,N/A,Xe cũ,Dầu
16/10/2025,2018,Porsche Panamera 3.0 V6,Nhập khẩu,Hà Nội,Sedan,96000,N/A,Xe cũ,Xăng
16/10/2025,2024,Toyota Land Cruiser 3.5 V6,Nhập khẩu,Hà Nội,SUV,20000,N/A,Xe cũ,Xăng
16/10/2025,2017,Mercedes Benz S class S450L Luxury,Lắp ráp trong nước,Hà Nội,Sedan,50000,N/A,Xe cũ,Xăng
16/10/2025,2025,Isuzu Dmax Prestige 1.9L 4x2 AT,Nhập khẩu,Hà Nội,Bán tải / Pickup,N/A,N/A,Xe mới,Dầu
16/10/2025,2025,Isuzu Dmax Prestige 1.9L 4x2 AT,Nhập khẩu,Hà Nội,Bán tải / Pickup,N/A,N/A,Xe mới,Dầu
16/10/2025,2025,Isuzu Dmax Prestige 1.9L 4x2 AT,Nhập khẩu,Hà Nội,Bán tải / Pickup,N/A,N/A,Xe mới,Dầu
16/10/2025,2022,Mercedes Benz E class E300 AMG,Lắp ráp trong nước,TP HCM,Sedan,33333,N/A,Xe cũ,Hybrid
16/10/2025,2024,Toyota Land Cruiser 3.5 V6,Nhập khẩu,Hà Nội,SUV,20000,N/A,Xe cũ,Xăng
16/10/2025,2018,Honda CRV L,Nhập khẩu,Hà Nội,SUV,64000,N/A,Xe cũ,Xăng
16/10/2025,2025,Ford Everest Titanium 2.0L 4x2 AT,Nhập khẩu,Hà Nội,SUV,N/A,N/A,Xe mới,Dầu
16/10/2025,2020,Mitsubishi Attrage 1.2 CVT,Nhập khẩu,Hà Nội,Sedan,70000,N/A,Xe cũ,Xăng
16/10/2025,2025,BMW 5 Series 530i M Sport,Lắp ráp trong nước,TP HCM,Sedan,N/A,N/A,Xe mới,Xăng
16/10/2025,2025,MG HS 1.5T LUX,Nhập khẩu,Hà Nội,Crossover,N/A,N/A,Xe mới,Xăng
16/10/2025,2022,VinFast Lux A 2.0 Tiêu chuẩn,Lắp ráp trong nước,N/A,Sedan,75000,N/A,Xe cũ,Xăng
16/10/2025,2024,Hyundai Custin Cao Cấp 2.0T,Lắp ráp trong nước,Hà Nội,Van/Minivan,48000,N/A,Xe cũ,Xăng
16/10/2025,2024,BMW 3 Series 330i M Sport,Lắp ráp trong nước,TP HCM,Sedan,N/A,N/A,Xe mới,Xăng
16/10/2025,2025,Ford Everest Titanium Plus 2.0L 4x4 AT,Nhập khẩu,Hà Nội,SUV,N/A,N/A,Xe mới,Dầu
16/10/2025,2023,Lexus ES 250 F Sport,Nhập khẩu,TP HCM,Sedan,14500,N/A,Xe cũ,Xăng
16/10/2025,2025,BMW X3 xDrive20i M Sport,Lắp ráp trong nước,TP HCM,SUV,N/A,N/A,Xe mới,Xăng
16/10/2025,2020,Kia Soluto 1.4 MT Deluxe,Lắp ráp trong nước,N/A,Sedan,53000,N/A,Xe cũ,Xăng
16/10/2025,2024,Lexus ES 250,Nhập khẩu,TP HCM,Sedan,9000,N/A,Xe cũ,Xăng
16/10/2025,2022,BMW X3 sDrive20i,Lắp ráp trong nước,Hà Nội,SUV,15000,N/A,Xe cũ,Xăng
16/10/2025,2025,Toyota Veloz Cross Top 1.5 CVT,Lắp ráp trong nước,TP HCM,SUV,N/A,N/A,Xe mới,Xăng
16/10/2025,2022,Mercedes Benz E class E200 Exclusive,Lắp ráp trong nước,Hà Nội,Sedan,15000,N/A,Xe cũ,Hybrid
16/10/2025,2025,Toyota Land Cruiser 3.5 V6,Nhập khẩu,Hà Nội,SUV,N/A,N/A,Xe mới,Xăng
16/10/2025,2021,Mercedes Benz G class G63 AMG,Nhập khẩu,Hà Nội,SUV,39000,N/A,Xe cũ,Xăng
16/10/2025,2025,Volkswagen Teramont X Platinum 2.0 AT,Nhập khẩu,TP HCM,SUV,N/A,N/A,Xe mới,Xăng
16/10/2025,2024,Toyota Corolla Cross 1.8V,Nhập khẩu,TP HCM,SUV,13461,N/A,Xe cũ,Xăng
16/10/2025,2025,Honda CRV L,Lắp ráp trong nước,N/A,SUV,N/A,N/A,Xe mới,Xăng
16/10/2025,2022,Hyundai SantaFe Cao cấp 2.2L HTRAC,Lắp ráp trong nước,Hà Nội,SUV,70008,N/A,Xe cũ,Dầu
16/10/2025,2024,Toyota Vios E CVT,Lắp ráp trong nước,Hà Nội,Sedan,26000,N/A,Xe cũ,Xăng
16/10/2025,2014,LandRover Range Rover Evoque Dynamic,Nhập khẩu,TP HCM,SUV,72000,N/A,Xe cũ,Xăng
16/10/2025,2016,Kia Cerato 2.0 AT,Lắp ráp trong nước,Hà Nội,Sedan,62000,N/A,Xe cũ,Xăng
16/10/2025,2020,Volvo XC60 T6 AWD Inscription,Nhập khẩu,Hà Nội,SUV,34000,N/A,Xe cũ,Xăng
16/10/2025,2022,Peugeot 3008 AL,Lắp ráp trong nước,Hà Nội,Crossover,50000,N/A,Xe cũ,Xăng
16/10/2025,2010,Toyota Prado TXL 2.7L,Nhập khẩu,Hà Nội,SUV,0,N/A,Xe cũ,Xăng
16/10/2025,2022,BMW X3 sDrive20i,Lắp ráp trong nước,Hà Nội,SUV,15000,N/A,Xe cũ,Xăng
16/10/2025,2025,Ford Transit Van,Lắp ráp trong nước,TP HCM,Van/Minivan,N/A,N/A,Xe mới,Dầu
16/10/2025,2022,Kia Seltos Luxury 1.4 AT,Lắp ráp trong nước,Hà Nội,Crossover,30000,N/A,Xe cũ,Xăng
16/10/2025,2025,Honda City L 1.5 AT,Lắp ráp trong nước,Hà Nội,Sedan,N/A,N/A,Xe mới,Xăng
16/10/2025,2025,Toyota Vios G 1.5 CVT,Lắp ráp trong nước,TP HCM,Sedan,N/A,N/A,Xe mới,Xăng
16/10/2025,2019,Suzuki Ciaz 1.4 AT,Nhập khẩu,N/A,Sedan,72000,N/A,Xe cũ,Xăng
16/10/2025,2021,Ford Ranger Wildtrak 2.0L 4x4 AT,Nhập khẩu,Hà Nội,Bán tải / Pickup,90000,N/A,Xe cũ,Dầu
16/10/2025,2025,Toyota Land Cruiser 3.5 V6,Nhập khẩu,Hà Nội,SUV,N/A,N/A,Xe mới,Xăng
16/10/2025,2016,Kia Morning 1.0 AT,Nhập khẩu,N/A,Hatchback,0,N/A,Xe cũ,Xăng
16/10/2025,2023,Ford Everest Titanium 2.0L 4x2 AT,Nhập khẩu,N/A,SUV,0,N/A,Xe cũ,Dầu
16/10/2025,2025,Volkswagen Teramont X Platinum 2.0 AT,Nhập khẩu,TP HCM,SUV,N/A,N/A,Xe mới,Xăng
16/10/2025,2025,Honda CRV L,Lắp ráp trong nước,N/A,SUV,N/A,N/A,Xe mới,Xăng
16/10/2025,2024,Toyota Vios E CVT,Lắp ráp trong nước,Hà Nội,Sedan,26000,N/A,Xe cũ,Xăng
16/10/2025,2022,Hyundai SantaFe Cao cấp 2.5L HTRAC,Lắp ráp trong nước,Hà Nội,SUV,60000,N/A,Xe cũ,Xăng
16/10/2025,2025,Toyota Innova Cross 2.0 CVT,Nhập khẩu,Hà Nội,Crossover,N/A,N/A,Xe mới,Xăng
16/10/2025,2017,Porsche Macan 2.0,Nhập khẩu,Hà Nội,SUV,60000,N/A,Xe cũ,Xăng
16/10/2025,2023,Toyota Land Cruiser 3.5 V6,Nhập khẩu,Hà Nội,SUV,26000,N/A,Xe cũ,Xăng
16/10/2025,2025,Toyota Land Cruiser 3.5 V6,Nhập khẩu,Hà Nội,SUV,N/A,N/A,Xe mới,Xăng
16/10/2025,2024,BYD Seal Advanced,Nhập khẩu,TP HCM,Sedan,N/A,N/A,Xe mới,Điện
16/10/2025,2022,Mercedes Benz GLC 200,Lắp ráp trong nước,TP HCM,SUV,39000,N/A,Xe cũ,Xăng
16/10/2025,2019,Ford Tourneo Titanium 2.0 AT,Lắp ráp trong nước,TP HCM,Van/Minivan,36000,N/A,Xe cũ,Xăng
16/10/2025,2025,Honda City L 1.5 AT,Lắp ráp trong nước,Hà Nội,Sedan,N/A,N/A,Xe mới,Xăng
16/10/2025,2013,Toyota Sienna Limited 3.5 AWD,Nhập khẩu,Đà Nẵng,Van/Minivan,140000,N/A,Xe cũ,Xăng
16/10/2025,2025,Ford Everest Ambiente 2.0L 4x2 AT,Nhập khẩu,TP HCM,SUV,N/A,N/A,Xe mới,Dầu
16/10/2025,2015,Toyota Innova 2.0G,Lắp ráp trong nước,N/A,Crossover,80000,N/A,Xe cũ,Xăng
16/10/2025,2011,Chevrolet Spark Van 1.0 AT,Nhập khẩu,N/A,Van/Minivan,0,N/A,Xe cũ,Xăng
16/10/2025,2016,Kia Morning 1.0 AT,Nhập khẩu,N/A,Hatchback,0,N/A,Xe cũ,Xăng
16/10/2025,2013,Mazda CX9 3.7 AT AWD,Nhập khẩu,Hà Nội,SUV,100000,N/A,Xe cũ,Xăng
16/10/2025,2025,Mitsubishi Xpander Cross 1.5 AT,Nhập khẩu,Hà Nội,SUV,N/A,N/A,Xe mới,Xăng
16/10/2025,2023,Ford Everest Titanium 2.0L 4x2 AT,Nhập khẩu,N/A,SUV,0,N/A,Xe cũ,Dầu
16/10/2025,2024,Mercedes Benz Maybach GLS 480 4Matic,Nhập khẩu,TP HCM,SUV,N/A,N/A,Xe mới,Xăng
16/10/2025,2017,Toyota Prado TXL 2.7L,Nhập khẩu,N/A,SUV,150000,N/A,Xe cũ,Xăng
16/10/2025,2025,VinFast VF7 Plus,Lắp ráp trong nước,TP HCM,SUV,N/A,N/A,Xe mới,Điện
16/10/2025,2023,VinFast VF9 Plus,Lắp ráp trong nước,Hà Nội,SUV,50000,N/A,Xe cũ,Điện
16/10/2025,2024,Toyota Corolla Cross 1.8HEV,Nhập khẩu,Hà Nội,SUV,21000,N/A,Xe cũ,Hybrid
16/10/2025,2019,Mercedes Benz S class S450L Luxury,Lắp ráp trong nước,Hà Nội,Sedan,45000,N/A,Xe cũ,Xăng
16/10/2025,2016,Infiniti QX 60 3.5 AWD,Nhập khẩu,TP HCM,SUV,103000,N/A,Xe cũ,Xăng
16/10/2025,2025,Hyundai Creta Đặc biệt 1.5 AT,Lắp ráp trong nước,Cần Thơ,SUV,N/A,N/A,Xe mới,Xăng
16/10/2025,2020,Lexus RX 350,Nhập khẩu,Hà Nội,SUV,50000,N/A,Xe cũ,Xăng
16/10/2025,2025,Mitsubishi Xpander Premium 1.5 AT,Nhập khẩu,Hà Nội,SUV,N/A,N/A,Xe mới,Xăng
16/10/2025,2020,Ford EcoSport Titanium 1.5 AT,Lắp ráp trong nước,N/A,SUV,33000,N/A,Xe cũ,Xăng
16/10/2025,2017,Toyota Prado TXL 2.7L,Nhập khẩu,Hà Nội,SUV,150000,N/A,Xe cũ,Xăng
16/10/2025,2014,BMW 3 Series 320i,Nhập khẩu,Hà Nội,Sedan,100000,N/A,Xe cũ,Xăng
16/10/2025,2014,Chevrolet Aveo LTZ 1.5 AT,Lắp ráp trong nước,Hà Nội,Sedan,80000,N/A,Xe cũ,Xăng
16/10/2025,2020,Hyundai Tucson 2.0 AT CRDi,Lắp ráp trong nước,Hà Nội,Crossover,68000,N/A,Xe cũ,Dầu
16/10/2025,2017,Mazda CX5 2.5 AT 2WD,Lắp ráp trong nước,Hà Nội,SUV,110000,N/A,Xe cũ,Xăng
16/10/2025,2022,Peugeot 2008 GT Line 1.2 AT,Lắp ráp trong nước,TP HCM,Crossover,50000,N/A,Xe cũ,Xăng
16/10/2025,2022,Kia Sorento Signature 2.2 AT AWD,Lắp ráp trong nước,Hà Nội,SUV,44000,N/A,Xe cũ,Dầu
16/10/2025,2024,Hyundai SantaFe Prestige 2.5L HTRAC,Lắp ráp trong nước,Hà Nội,SUV,10000,N/A,Xe cũ,Xăng
16/10/2025,2022,Mazda 3 1.5L Luxury,Lắp ráp trong nước,Hà Nội,Sedan,68000,N/A,Xe cũ,Xăng
16/10/2025,2015,Mercedes Benz C class C300 AMG,Lắp ráp trong nước,N/A,Sedan,71000,N/A,Xe cũ,Xăng
16/10/2025,2017,Toyota Prado TXL 2.7L,Nhập khẩu,N/A,SUV,150000,N/A,Xe cũ,Xăng
16/10/2025,2024,Toyota Corolla Cross 1.8HEV,Nhập khẩu,Hà Nội,SUV,21000,N/A,Xe cũ,Hybrid
16/10/2025,2023,Hyundai Palisade Prestige 2.2 AT HTRAC,Lắp ráp trong nước,Hà Nội,SUV,15000,N/A,Xe cũ,Dầu
16/10/2025,2025,Honda CRV L,Lắp ráp trong nước,Hà Nội,SUV,N/A,N/A,Xe mới,Xăng
16/10/2025,2024,Subaru Forester 2.0i-S EyeSight,Nhập khẩu,TP HCM,SUV,N/A,N/A,Xe mới,Xăng
16/10/2025,2019,Mercedes Benz S class S450L Luxury,Lắp ráp trong nước,Hà Nội,Sedan,45000,N/A,Xe cũ,Xăng
16/10/2025,2016,Infiniti QX 60 3.5 AWD,Nhập khẩu,TP HCM,SUV,103000,N/A,Xe cũ,Xăng
16/10/2025,2021,Hyundai Kona 2.0 ATH,Lắp ráp trong nước,Hà Nội,Crossover,35000,N/A,Xe cũ,Xăng
16/10/2025,2025,VinFast VF9 Plus,Lắp ráp trong nước,Hà Nội,SUV,N/A,N/A,Xe mới,Điện
16/10/2025,2020,Lexus RX 350,Nhập khẩu,Hà Nội,SUV,50000,N/A,Xe cũ,Xăng
16/10/2025,2019,Hyundai i10 Grand 1.2 AT,Lắp ráp trong nước,Hà Nội,Sedan,87000,N/A,Xe cũ,Xăng
16/10/2025,2020,Ford EcoSport Titanium 1.5 AT,Lắp ráp trong nước,N/A,SUV,33000,N/A,Xe cũ,Xăng
16/10/2025,2014,BMW 3 Series 320i,Nhập khẩu,Hà Nội,Sedan,100000,N/A,Xe cũ,Xăng
16/10/2025,2014,Chevrolet Aveo LTZ 1.5 AT,Lắp ráp trong nước,Hà Nội,Sedan,80000,N/A,Xe cũ,Xăng
16/10/2025,2020,Hyundai Tucson 2.0 AT CRDi,Lắp ráp trong nước,Hà Nội,Crossover,68000,N/A,Xe cũ,Dầu
16/10/2025,2022,Peugeot 2008 GT Line 1.2 AT,Lắp ráp trong nước,TP HCM,Crossover,50000,N/A,Xe cũ,Xăng
16/10/2025,2022,Kia Sorento Signature 2.2 AT AWD,Lắp ráp trong nước,Hà Nội,SUV,44000,N/A,Xe cũ,Dầu
16/10/2025,2003,Mazda 6 2.0 MT,Lắp ráp trong nước,Hà Nội,Sedan,0,N/A,Xe cũ,Xăng
16/10/2025,2022,Mazda 3 1.5L Luxury,Lắp ráp trong nước,Hà Nội,Sedan,68000,N/A,Xe cũ,Xăng
16/10/2025,2015,Mercedes Benz C class C300 AMG,Lắp ráp trong nước,N/A,Sedan,71000,N/A,Xe cũ,Xăng
16/10/2025,2014,Audi Q7 3.0 AT,Nhập khẩu,TP HCM,SUV,0,N/A,Xe cũ,Xăng
16/10/2025,2018,Lexus LX 570 Super Sport,Nhập khẩu,Hà Nội,SUV,70000,N/A,Xe cũ,Xăng
16/10/2025,2025,Isuzu MU-X Premium 1.9 4X4 AT,Nhập khẩu,Hà Nội,SUV,N/A,N/A,Xe mới,Dầu
16/10/2025,2023,Hyundai Palisade Prestige 2.2 AT HTRAC,Lắp ráp trong nước,Hà Nội,SUV,15000,N/A,Xe cũ,Dầu
16/10/2025,2025,Honda CRV L,Lắp ráp trong nước,Hà Nội,SUV,N/A,N/A,Xe mới,Xăng
16/10/2025,2024,Subaru Forester 2.0i-S EyeSight,Nhập khẩu,TP HCM,SUV,N/A,N/A,Xe mới,Xăng
16/10/2025,2020,Toyota Corolla altis 1.8E AT,Lắp ráp trong nước,Hà Nội,Sedan,86000,N/A,Xe cũ,Xăng
16/10/2025,2021,Toyota Vios 1.5E CVT,Lắp ráp trong nước,Hà Nội,Sedan,80000,N/A,Xe cũ,Xăng
16/10/2025,2021,Hyundai Kona 2.0 ATH,Lắp ráp trong nước,Hà Nội,Crossover,35000,N/A,Xe cũ,Xăng
16/10/2025,2025,VinFast VF9 Plus,Lắp ráp trong nước,Hà Nội,SUV,N/A,N/A,Xe mới,Điện
16/10/2025,2022,Mercedes Benz EQS 580 4Matic,Nhập khẩu,N/A,Sedan,16000,N/A,Xe cũ,Điện
16/10/2025,2016,Mercedes Benz C class C250 Exclusive,Lắp ráp trong nước,Hà Nội,Sedan,82000,N/A,Xe cũ,Xăng
16/10/2025,2019,Hyundai i10 Grand 1.2 AT,Lắp ráp trong nước,Hà Nội,Sedan,87000,N/A,Xe cũ,Xăng
16/10/2025,2025,Isuzu Dmax Prestige 1.9L 4x2 AT,Nhập khẩu,Hà Nội,Bán tải / Pickup,N/A,N/A,Xe mới,Dầu
16/10/2025,2022,Mercedes Benz GLE Class GLE 53 4Matic+ Coupe AMG,Nhập khẩu,TP HCM,SUV,18000,N/A,Xe cũ,Hybrid
16/10/2025,2016,Mazda CX5 2.5 AT,Lắp ráp trong nước,N/A,SUV,100000,N/A,Xe cũ,Xăng
16/10/2025,2020,Mitsubishi Xpander 1.5 AT,Nhập khẩu,N/A,SUV,75000,N/A,Xe cũ,Xăng
16/10/2025,2017,Ford Ranger Wildtrak 3.2L 4x4 AT,Nhập khẩu,Hà Nội,Bán tải / Pickup,120000,N/A,Xe cũ,Dầu
16/10/2025,2003,Mazda 6 2.0 MT,Lắp ráp trong nước,Hà Nội,Sedan,0,N/A,Xe cũ,Xăng
16/10/2025,2025,Honda HRV G,Nhập khẩu,Hà Nội,Crossover,N/A,N/A,Xe mới,Xăng
16/10/2025,2024,Ford Everest Titanium Plus 2.0L 4x4 AT,Nhập khẩu,Hà Nội,SUV,25000,N/A,Xe cũ,Dầu
16/10/2025,2025,Lexus LM 500h,Nhập khẩu,Hà Nội,Van/Minivan,N/A,N/A,Xe mới,Hybrid
16/10/2025,2021,Mercedes Benz C class C300 AMG,Lắp ráp trong nước,Hà Nội,Sedan,38000,N/A,Xe cũ,Xăng
16/10/2025,2025,Toyota Fortuner Legender 2.4L 4x2 AT,Lắp ráp trong nước,TP HCM,SUV,N/A,N/A,Xe mới,Dầu
16/10/2025,2022,Porsche Macan 2.0,Nhập khẩu,Hà Nội,SUV,35000,N/A,Xe cũ,Xăng
16/10/2025,2025,Ford Territory Titanium X 1.5 AT,Lắp ráp trong nước,Hà Nội,SUV,N/A,N/A,Xe mới,Xăng
16/10/2025,2025,MG G50 1.5 MT Com,Nhập khẩu,N/A,Van/Minivan,N/A,N/A,Xe mới,Xăng
16/10/2025,2018,Chevrolet Trailblazer LTZ 2.5L VGT 4x4 AT,Nhập khẩu,Hà Nội,SUV,86000,N/A,Xe cũ,Dầu
16/10/2025,2022,Mercedes Benz S class S450 4Matic Luxury,Nhập khẩu,TP HCM,Sedan,23456,N/A,Xe cũ,Xăng
16/10/2025,2022,Mercedes Benz S class S450 4Matic,Nhập khẩu,Hà Nội,Sedan,23000,N/A,Xe cũ,Xăng
16/10/2025,2024,Mitsubishi Xpander Premium 1.5 AT,Nhập khẩu,Hà Nội,SUV,20000,N/A,Xe cũ,Xăng
16/10/2025,2022,Hyundai Stargazer Đặc biệt 1.5 AT,Nhập khẩu,Hà Nội,Van/Minivan,50000,N/A,Xe cũ,Xăng
16/10/2025,2021,Toyota Fortuner 2.4G 4x2 AT,Lắp ráp trong nước,Hà Nội,SUV,103000,N/A,Xe cũ,Dầu
16/10/2025,2023,Mercedes Benz C class C200 Avantgarde,Lắp ráp trong nước,N/A,Sedan,3300,N/A,Xe cũ,Xăng
16/10/2025,2022,Toyota Prado VX 2.7L,Nhập khẩu,Hà Nội,SUV,40000,N/A,Xe cũ,Xăng
16/10/2025,2025,Lexus LX 600 Urban,Nhập khẩu,Hà Nội,SUV,N/A,N/A,Xe mới,Xăng
16/10/2025,2018,Lexus NX 300,Nhập khẩu,Hà Nội,SUV,94000,N/A,Xe cũ,Xăng
